iter	Logloss
0	0.6415458176
1	0.5962191073
2	0.556415974
3	0.5214660634
4	0.4908001135
5	0.4636801753
6	0.4394578648
7	0.4170621176
8	0.3989711375
9	0.3832084675
10	0.3690952242
11	0.3568534782
12	0.3458280527
13	0.335964491
14	0.3252271902
15	0.316901609
16	0.3093502419
17	0.3028012936
18	0.296947337
19	0.2919919066
20	0.2881132313
21	0.2832272337
22	0.2795733364
23	0.2763523425
24	0.2739784016
25	0.2719104883
26	0.2695117637
27	0.2675153715
28	0.2648000018
29	0.2630969413
30	0.2616102783
31	0.2598803441
32	0.2587020882
33	0.2559976624
34	0.253691589
35	0.2516166541
36	0.249762403
37	0.2483830254
38	0.2467399708
39	0.2451595317
40	0.2441099466
41	0.2429690097
42	0.2420295301
43	0.2411619118
44	0.2404265337
45	0.2395151307
46	0.238901635
47	0.2381856522
48	0.2374486045
49	0.2365208631
50	0.2356994582
51	0.2351241587
52	0.2347124174
53	0.2335628462
54	0.2331008809
55	0.2323390865
56	0.232043525
57	0.2315983328
58	0.231042572
59	0.2306760376
60	0.230478835
61	0.2298070767
62	0.2295175531
63	0.2290448453
64	0.2285603317
65	0.2283314794
66	0.2280264686
67	0.2278616947
68	0.2274818931
69	0.2271532615
70	0.2268948265
71	0.2265717177
72	0.2263469089
73	0.2260267919
74	0.2256986381
75	0.2255321725
76	0.2253085154
77	0.2252135656
78	0.224680039
79	0.2240881451
80	0.2239036122
81	0.2235578185
82	0.2229250976
83	0.2228380803
84	0.2226216814
85	0.2224497778
86	0.2222898446
87	0.2221423116
88	0.2221122185
89	0.2217291626
90	0.2214586641
91	0.2213360473
92	0.2211400988
93	0.2210672514
94	0.2207537459
95	0.2204855418
96	0.2203029174
97	0.2199868938
98	0.2198274293
99	0.2193798341
100	0.2191900595
101	0.2190474258
102	0.2189054846
103	0.2185753247
104	0.2182769514
105	0.2180009048
106	0.2178488819
107	0.2174627218
108	0.2173124005
109	0.2169480359
110	0.2167540287
111	0.2165240284
112	0.2161838612
113	0.2160297554
114	0.2157094784
115	0.2155498352
116	0.2154077599
117	0.2150720326
118	0.214903581
119	0.2145971169
120	0.2144826138
121	0.2143126588
122	0.2142400453
123	0.2138902844
124	0.2136633552
125	0.2135093345
126	0.2134230997
127	0.2130554398
128	0.2129222882
129	0.2126021408
130	0.2124669679
131	0.2122831182
132	0.2121366893
133	0.2120614056
134	0.2118492937
135	0.2115674195
136	0.2112676965
137	0.2109573465
138	0.210839059
139	0.2106833984
140	0.2102974043
141	0.2102452017
142	0.2101265598
143	0.209994792
144	0.2097903792
145	0.2095017924
146	0.2094138006
147	0.2091644061
148	0.2089240775
149	0.2088109057
150	0.2086144703
151	0.2082727632
152	0.2081681769
153	0.2080048083
154	0.2078601965
155	0.2077584251
156	0.2074873312
157	0.2073725993
158	0.2071357417
159	0.2069712355
160	0.2068719478
161	0.2065438993
162	0.2063354162
163	0.2062742164
164	0.2061577238
165	0.2059189533
166	0.2056634347
167	0.205558538
168	0.205481174
169	0.205387624
170	0.2051553399
171	0.204981075
172	0.2048817266
173	0.2045291017
174	0.204446823
175	0.2043191716
176	0.2042207311
177	0.2041039888
178	0.2040391716
179	0.203953616
180	0.2038095633
181	0.2037412418
182	0.2035266928
183	0.2033172249
184	0.2031396622
185	0.2030396518
186	0.2028277925
187	0.20267447
188	0.202443996
189	0.2023731076
190	0.2021610685
191	0.201907684
192	0.2017664898
193	0.2016573796
194	0.2015542528
195	0.2013026868
196	0.201209242
197	0.2011018078
198	0.2008353462
199	0.2007531197
